SUB-CODE,SUB-NAME,SEM,year,dept_id
15A99301,BEEE,2_1,2,5
15A99302,BEEE LAB,2_1,2,5
15A05303,DBMS LAB,2_1,2,5
15A05301,DBMS,2_1,2,5
15A04306,DLD,2_1,2,5
15A05302,DM,2_1,2,5
15A52301,MEFA,2_1,2,5
15A54301,M3,2_1,2,5
15A05402,CO,2_2,2,5
15A05404,FLAT,2_2,2,5
15A05405,JAVA LAB,2_2,2,5
15A04408,MPI LAB,2_2,2,5
15A04407,MPI,2_2,2,5
15A05403,OBJECT ORIENTED PROGRAMING USING JAVA,2_2,2,5
15A54401,PS,2_2,2,5
15A05401,SE,2_2,2,5
15A05502,CN,3_1,3,5
15A05606,IBD,3_1,3,5
15A05509,OOAD AND ST LAB,3_1,3,5
15A05503,OOAD,3_1,3,5
15A05501,OS,3_1,3,5
15A05510,OS LAB,3_1,3,5
15A05504,PPL,3_1,3,5
15A099501,SVE,3_1,3,5
15A05505,ST,3_1,3,5
15A05601,CD,3_2,3,5
15A05610,DWM LAB,3_2,3,5
15A05602,DWM,3_2,3,5
15A05604,DAA,3_2,3,5
15A05603,DP,3_2,3,5
15A05607,LINUX,3_2,3,5
15A05605,WIT,3_2,3,5
15A05609,WIT LAB,3_2,3,5
15A05701,GCC,4_1,4,5
15A05710,GCC LAB,4_1,4,5
15A05702,IS,4_1,4,5
15A05706,ML,4_1,4,5
15A52601,MS,4_1,4,5
15A05703,MAD,4_1,4,5
15A05711,MAD LAB,4_1,4,5
15A05707,SPM,4_1,4,5
15A05806,CS,4_2,4,5
15A05801,DA,4_2,4,5
